RecordingTimestamp	FixationIndex	GazeEventDuration(mS)	GazePointIndex	GazePointX(px)	GazePointY(px)
95233	242	663	28572	933	243
95896	243	330	28771	832	253
96226	244	270	28870	968	260
96496	245	293	28951	1233	241
96789	246	40	29039	862	242
96829	247	230	29051	583	237
97059	248	347	29120	302	221
97406	249	137	29224	392	502
97542	250	693	29265	416	847
98236	251	403	29473	521	543
98639	252	23	29594	472	360
98662	253	53	29601	414	568
98716	254	397	29617	428	801
99112	255	293	29736	380	823
99406	256	473	29824	539	548
99879	257	120	29966	435	595
99999	258	630	30002	419	763
100629	259	287	30191	584	510
100915	260	183	30277	494	228
101099	261	380	30332	438	459
101479	262	1890	30446	378	786
103368	263	187	31013	326	735
103555	264	413	31069	290	659
103968	265	457	31193	503	646
104425	266	463	31330	336	645
104888	267	490	31469	337	740
105378	268	413	31616	280	792
105792	269	253	31740	338	842
106045	270	367	31816	425	799
106411	271	440	31926	327	695
106851	272	170	32058	416	657
107021	273	520	32109	487	632
107541	274	397	32265	436	770
107938	275	363	32384	310	837
108301	276	453	32493	320	752
109398	277	100	32822	340	211
109498	278	373	32852	532	254
109871	279	310	32964	286	200
110181	280	23	33057	380	385
110204	281	273	33064	376	637
110478	282	317	33146	438	795
110794	283	313	33241	322	541
111108	284	457	33335	494	219
111564	285	387	33472	333	239
111951	286	573	33588	444	242
112524	287	347	33760	285	205
112871	288	417	33864	439	219
113287	289	23	33989	568	491
113311	290	210	33996	425	726
113521	291	336	34059	428	834
113857	292	363	34160	510	801
114220	293	367	34269	430	686
114587	294	303	34379	347	704
114890	295	503	34470	434	825
115393	296	210	34621	848	843
115603	297	780	34684	1218	718
116383	298	243	34918	759	770
116627	299	167	34991	350	796
116793	300	387	35041	811	775
117180	301	287	35157	897	515
117466	302	143	35243	569	227
117610	303	23	35286	877	419
117633	304	763	35293	1129	632
118396	305	220	35522	1260	763
118616	306	723	35588	1416	759
119340	307	533	35805	1287	778
119873	308	187	35965	1222	769
120060	309	720	36021	1431	796
120779	310	753	36237	1274	795
121533	311	450	36463	1434	784
121983	312	313	36598	1475	790
122296	313	683	36692	1257	790
122979	314	73	36897	806	771
123053	315	37	36919	621	718
123089	316	203	36930	934	547
123293	317	273	36991	1219	297
123566	318	227	37073	1244	511
123792	319	297	37141	1198	852
124089	320	820	37230	1447	788
124909	321	580	37476	1288	794
125489	322	760	37650	1395	772
126249	323	480	37878	1289	774
126729	324	587	38022	773	756
127315	325	47	38198	807	781
127362	326	123	38212	1277	776
127485	327	173	38249	1177	760
127659	328	503	38301	1441	753
128162	329	33	38452	1280	756
128195	330	507	38462	1195	760
128702	331	473	38614	1445	772
129175	332	333	38756	1301	801
129508	333	260	38856	794	714
129768	334	330	38934	389	759
130098	335	340	39033	828	730
130438	336	30	39135	1416	778
130468	337	23	39144	1436	704
130638	338	33	39195	1443	800
130672	339	107	39205	1426	793
130778	340	300	39237	1489	820
131078	341	397	39327	1258	763
131475	342	303	39446	775	666
131778	343	127	39537	366	751
131905	344	43	39575	845	740
131948	345	270	39588	1233	774
132218	346	447	39669	1380	783
132665	347	453	39803	1285	779
133118	348	297	39939	801	711
133415	349	847	40028	385	723
134261	350	300	40282	839	755
134561	351	757	40372	1449	775
135318	352	400	40599	1233	776
135718	353	433	40719	1410	789
136151	354	243	40849	1424	791
136394	355	270	40922	1183	788
136664	356	347	41003	869	566
137011	357	137	41107	560	235
137148	358	170	41148	967	476
137318	359	253	41199	1195	820
137571	360	367	41275	1441	790
137937	361	480	41385	1255	776
138417	362	227	41529	1422	776
138644	363	430	41597	1563	806
139074	364	397	41726	1307	783
139471	365	337	41845	1442	792
139807	366	313	41946	1509	813
140120	367	370	42040	1254	787
140490	368	343	42151	1232	512
140834	369	27	42254	1300	443
140860	370	283	42262	1241	714
141144	371	127	42347	1248	793
141270	372	603	42385	1433	817
141874	373	517	42566	1249	786
142390	374	657	42721	1421	773
143047	375	420	42918	1339	754
143467	376	467	43044	828	692
143933	377	557	43184	849	757
144490	378	760	43351	781	730
145250	379	217	43579	844	723
145467	380	163	43644	1177	743
145630	381	577	43693	1437	756
146206	382	323	43866	1249	764
146530	383	557	43963	761	725
147086	384	303	44130	812	772
147390	385	163	44221	1210	780
147553	386	347	44270	1467	791
147900	387	207	44374	1428	785
148106	388	390	44436	1270	748
148496	389	443	44553	782	702
148940	390	363	44686	483	490
149386	391	227	44820	459	844
149613	392	143	44888	394	798
149756	393	443	44931	812	775
150199	394	470	45064	1391	784
150669	395	423	45205	1274	789
151093	396	233	45332	795	759
151326	397	513	45402	380	768
151839	398	263	45556	849	811
152102	399	250	45635	1221	795
152352	400	790	45710	1404	782
153142	401	430	45947	1272	793
153572	402	647	46076	1374	750
154219	403	627	46270	1239	792
154845	404	480	46458	1391	794
155325	405	777	46602	1323	789
156102	406	687	46835	1394	771
156789	407	640	47041	1250	790
157428	408	757	47233	1406	787
158185	409	783	47460	1279	774
158968	410	407	47695	1423	788
159375	411	350	47817	1464	801
159725	412	910	47922	1263	783
160635	413	207	48195	1195	680
160841	414	347	48257	1300	675
161188	415	110	48361	1385	721
161298	416	407	48394	1244	795
161705	417	370	48516	1178	849
162075	418	203	48627	1223	802
162278	419	457	48688	1138	659
162734	420	287	48825	1256	629
163021	421	213	48911	1233	639
163234	422	263	48975	1114	615
163498	423	310	49054	1200	696
163808	424	547	49147	1227	719
164354	425	337	49311	1375	747
164691	426	263	49412	1528	768
164954	427	233	49491	1475	778
165188	428	223	49561	1264	745
165411	429	20	49628	1004	653
165594	430	373	49683	1238	724
165967	431	267	49795	1450	776
166234	432	383	49875	1449	774
166617	433	230	49990	1487	777
166847	434	123	50059	1427	774
166971	435	327	50096	1264	773
167297	436	257	50194	1217	719
167554	437	397	50271	1428	764
167951	438	283	50390	1458	762
168234	439	733	50475	1243	759
168967	440	280	50695	1250	692
169247	441	167	50779	1250	658
169414	442	397	50829	1152	647
169810	443	387	50948	1126	804
170197	444	397	51064	1255	816
170594	445	470	51183	1469	817
171064	446	440	51324	1511	710
171887	447	310	51571	1473	933
172197	448	283	51664	1386	791
172480	449	810	51749	1432	673
173290	450	270	51992	1476	709
173560	451	333	52073	1400	730
173893	452	167	52173	1311	712
174060	453	480	52223	1404	727
174540	454	553	52367	1527	776
175093	455	257	52533	1344	813
175726	456	103	52723	1569	839
175830	457	273	52754	1381	810
176103	458	153	52836	887	720
176256	459	467	52882	365	802
176723	460	140	53022	495	774
176863	461	40	53064	923	731
176903	462	337	53076	1203	727
177239	463	670	53177	1473	751
177909	464	43	53378	1095	760
177953	465	300	53391	700	727
178253	466	470	53481	480	788
178723	467	340	53622	325	543
179063	468	237	53724	479	235
179299	469	280	53795	395	559
179579	470	120	53879	526	799
179699	471	300	53915	948	782
179999	472	137	54005	1244	772
180136	473	360	54046	1471	761
180496	474	177	54154	1328	810
180672	475	263	54207	1203	783
180936	476	40	54286	787	784
180976	477	133	54298	503	773
181109	478	223	54338	409	773
